LABEL,TIME,FRAME
30+0/1,216.8,10406400
30+1/8,217.456,10437888
30+3/16,217.696,10449408
30+1/4,217.904,10459392
30+5/16,218.112,10469376
30+3/8,218.368,10481664
30+7/16,218.608,10493184
30+1/2,218.848,10504704
30+9/16,219.072,10515456
30+5/8,219.36,10529280
30+11/16,219.776,10549248
30+23/32,219.936,10556928
30+3/4,220.08,10563840
30+7/8,220.608,10589184
30+1/1,221.296,10622208
30+9/8,221.744,10643712
30+5/4,222.224,10666752
30+11/8,222.72,10690560
31+0/1,223.168,10712064
31+1/8,223.584,10732032
31+1/4,224.016,10752768
31+3/8,224.432,10772736
31+1/2,224.848,10792704
31+5/8,225.264,10812672
31+3/4,225.76,10836480
31+7/8,226.528,10873344
31+1/1,226.976,10894848
31+9/8,227.36,10913280
31+5/4,227.872,10937856
31+11/8,228.496,10967808
32+0/1,229.216,11002368
32+3/32,229.792,11030016
32+3/16,230.128,11046144
32+9/32,230.384,11058432
32+3/8,230.576,11067648
32+15/32,230.8,11078400
32+9/16,231.072,11091456
32+21/32,231.376,11106048
32+3/4,231.904,11131392
33+0/1,N,N
33+1/32,N,N
33+1/16,N,N
33+3/32,N,N
33+1/8,N,N
33+5/32,N,N
33+3/16,N,N
33+7/32,N,N
33+1/4,N,N
33+9/32,N,N
33+5/16,N,N
33+11/32,N,N
33+3/8,N,N
33+13/32,N,N
33+7/16,N,N
33+15/32,N,N
33+1/2,N,N
33+17/32,N,N
33+9/16,N,N
33+19/32,N,N
33+5/8,N,N
33+21/32,N,N
33+11/16,N,N
33+23/32,N,N
34+0/1,N,N
34+1/32,N,N
34+1/16,N,N
34+3/32,N,N
34+1/8,N,N
34+5/32,N,N
34+3/16,N,N
34+7/32,N,N
34+1/4,N,N
34+9/32,N,N
34+5/16,N,N
34+11/32,N,N
34+3/8,N,N
34+13/32,N,N
34+7/16,N,N
34+15/32,N,N
34+1/2,N,N
34+17/32,N,N
34+9/16,N,N
34+19/32,N,N
34+5/8,N,N
34+21/32,N,N
34+11/16,N,N
34+23/32,N,N
35+0/1,N,N
35+1/32,N,N
35+1/16,N,N
35+3/32,N,N
35+1/8,N,N
35+5/32,N,N
35+3/16,N,N
35+7/32,N,N
35+1/4,N,N
35+9/32,N,N
35+5/16,N,N
35+11/32,N,N
35+3/8,N,N
35+13/32,N,N
35+7/16,N,N
35+15/32,N,N
36+0/1,N,N
36+1/8,N,N
36+1/4,N,N
36+3/8,N,N
36+1/2,N,N
36+5/8,N,N
36+3/4,N,N
36+7/8,N,N
36+1/1,N,N
36+9/8,N,N
36+5/4,N,N
36+11/8,N,N
37+0/1,N,N
37+3/8,N,N
37+3/4,N,N
